=== Energy Consumption Metrics ===

Total Duration: 16849.00 seconds
Average CPU Power: 0.69 Watts
Average RAM Power: 3.05 Watts
Average GPU Power: 54.42 Watts
Total Energy Consumption: 0.9800 Mega Joules

=== Detailed Measurements ===
Round global, start: 25.46W (CPU: 4.11W, RAM: 1.93W, GPU: 19.42W)
Round 1, aggregation_start: 22.97W (CPU: 0.00W, RAM: 2.50W, GPU: 20.47W)
Round 1, aggregation_complete: 28.37W (CPU: 1.47W, RAM: 2.51W, GPU: 24.40W)
Round 2, cluster_generation_start: 23.27W (CPU: 0.03W, RAM: 2.51W, GPU: 20.73W)
Round 2, cluster_generation_complete: 23.24W (CPU: 0.00W, RAM: 2.51W, GPU: 20.73W)
Round 2, node_1_training_start: 23.24W (CPU: 0.00W, RAM: 2.51W, GPU: 20.73W)
Round 2, node_1_training_complete: 119.82W (CPU: 1.92W, RAM: 2.57W, GPU: 115.33W)
Round 2, node_1_smpc_start: 117.90W (CPU: 0.00W, RAM: 2.57W, GPU: 115.33W)
Round 2, node_1_smpc_complete: 23.15W (CPU: 0.09W, RAM: 2.51W, GPU: 20.55W)
Round 2, node_2_training_start: 22.87W (CPU: 0.00W, RAM: 2.51W, GPU: 20.36W)
Round 2, node_2_training_complete: 108.34W (CPU: 1.74W, RAM: 2.60W, GPU: 104.01W)
Round 2, node_2_smpc_start: 106.60W (CPU: 0.00W, RAM: 2.60W, GPU: 104.01W)
Round 2, node_2_smpc_complete: 22.87W (CPU: 0.09W, RAM: 2.55W, GPU: 20.22W)
Round 2, node_3_training_start: 22.78W (CPU: 0.00W, RAM: 2.55W, GPU: 20.23W)
Round 2, node_3_training_complete: 120.79W (CPU: 1.95W, RAM: 2.62W, GPU: 116.22W)
Round 2, node_3_smpc_start: 118.84W (CPU: 0.00W, RAM: 2.62W, GPU: 116.22W)
Round 2, node_3_smpc_complete: 23.03W (CPU: 0.09W, RAM: 2.57W, GPU: 20.37W)
Round 2, aggregation_start: 22.89W (CPU: 0.00W, RAM: 2.57W, GPU: 20.32W)
Round 2, aggregation_complete: 26.52W (CPU: 1.47W, RAM: 2.57W, GPU: 22.48W)
Round 3, cluster_generation_start: 23.05W (CPU: 0.03W, RAM: 2.59W, GPU: 20.44W)
Round 3, cluster_generation_complete: 23.02W (CPU: 0.00W, RAM: 2.59W, GPU: 20.44W)
Round 3, node_1_training_start: 23.02W (CPU: 0.00W, RAM: 2.59W, GPU: 20.44W)
Round 3, node_1_training_complete: 116.36W (CPU: 1.89W, RAM: 2.66W, GPU: 111.81W)
Round 3, node_1_smpc_start: 114.47W (CPU: 0.00W, RAM: 2.66W, GPU: 111.81W)
Round 3, node_1_smpc_complete: 22.58W (CPU: 0.09W, RAM: 2.61W, GPU: 19.88W)
Round 3, node_2_training_start: 22.38W (CPU: 0.00W, RAM: 2.61W, GPU: 19.77W)
Round 3, node_2_training_complete: 111.11W (CPU: 1.89W, RAM: 2.66W, GPU: 106.56W)
Round 3, node_2_smpc_start: 109.22W (CPU: 0.00W, RAM: 2.66W, GPU: 106.56W)
Round 3, node_2_smpc_complete: 23.38W (CPU: 0.09W, RAM: 2.63W, GPU: 20.66W)
Round 3, node_3_training_start: 22.95W (CPU: 0.00W, RAM: 2.63W, GPU: 20.32W)
Round 3, node_3_training_complete: 113.42W (CPU: 1.80W, RAM: 2.71W, GPU: 108.91W)
Round 3, node_3_smpc_start: 111.62W (CPU: 0.00W, RAM: 2.71W, GPU: 108.91W)
Round 3, node_3_smpc_complete: 23.03W (CPU: 0.09W, RAM: 2.67W, GPU: 20.26W)
Round 3, aggregation_start: 22.48W (CPU: 0.03W, RAM: 2.67W, GPU: 19.77W)
Round 3, aggregation_complete: 27.97W (CPU: 1.56W, RAM: 2.67W, GPU: 23.73W)
Round 4, cluster_generation_start: 22.69W (CPU: 0.03W, RAM: 2.68W, GPU: 19.98W)
Round 4, cluster_generation_complete: 22.66W (CPU: 0.00W, RAM: 2.68W, GPU: 19.98W)
Round 4, node_1_training_start: 22.66W (CPU: 0.00W, RAM: 2.68W, GPU: 19.98W)
Round 4, node_1_training_complete: 109.66W (CPU: 2.04W, RAM: 2.73W, GPU: 104.89W)
Round 4, node_1_smpc_start: 107.62W (CPU: 0.00W, RAM: 2.73W, GPU: 104.89W)
Round 4, node_1_smpc_complete: 23.07W (CPU: 0.09W, RAM: 2.72W, GPU: 20.27W)
Round 4, node_2_training_start: 22.55W (CPU: 0.00W, RAM: 2.72W, GPU: 19.84W)
Round 4, node_2_training_complete: 115.95W (CPU: 1.92W, RAM: 2.77W, GPU: 111.26W)
Round 4, node_2_smpc_start: 114.03W (CPU: 0.00W, RAM: 2.77W, GPU: 111.26W)
Round 4, node_2_smpc_complete: 22.81W (CPU: 0.09W, RAM: 2.73W, GPU: 19.99W)
Round 4, node_3_training_start: 22.87W (CPU: 0.00W, RAM: 2.73W, GPU: 20.14W)
Round 4, node_3_training_complete: 125.63W (CPU: 2.01W, RAM: 2.80W, GPU: 120.82W)
Round 4, node_3_smpc_start: 123.62W (CPU: 0.00W, RAM: 2.80W, GPU: 120.82W)
Round 4, node_3_smpc_complete: 22.64W (CPU: 0.09W, RAM: 2.73W, GPU: 19.82W)
Round 4, aggregation_start: 22.58W (CPU: 0.00W, RAM: 2.73W, GPU: 19.86W)
Round 4, aggregation_complete: 26.37W (CPU: 1.71W, RAM: 2.73W, GPU: 21.94W)
Round 5, cluster_generation_start: 25.04W (CPU: 0.03W, RAM: 2.74W, GPU: 22.26W)
Round 5, cluster_generation_complete: 25.01W (CPU: 0.00W, RAM: 2.74W, GPU: 22.26W)
Round 5, node_1_training_start: 25.01W (CPU: 0.00W, RAM: 2.74W, GPU: 22.26W)
Round 5, node_1_training_complete: 117.11W (CPU: 1.92W, RAM: 2.80W, GPU: 112.39W)
Round 5, node_1_smpc_start: 115.19W (CPU: 0.00W, RAM: 2.80W, GPU: 112.39W)
Round 5, node_1_smpc_complete: 23.28W (CPU: 0.09W, RAM: 2.76W, GPU: 20.43W)
Round 5, node_2_training_start: 23.30W (CPU: 0.00W, RAM: 2.76W, GPU: 20.54W)
Round 5, node_2_training_complete: 111.28W (CPU: 1.86W, RAM: 2.83W, GPU: 106.60W)
Round 5, node_2_smpc_start: 109.42W (CPU: 0.00W, RAM: 2.83W, GPU: 106.60W)
Round 5, node_2_smpc_complete: 22.78W (CPU: 0.09W, RAM: 2.82W, GPU: 19.87W)
Round 5, node_3_training_start: 22.53W (CPU: 0.00W, RAM: 2.81W, GPU: 19.71W)
Round 5, node_3_training_complete: 114.72W (CPU: 1.83W, RAM: 2.84W, GPU: 110.06W)
Round 5, node_3_smpc_start: 112.89W (CPU: 0.00W, RAM: 2.84W, GPU: 110.06W)
Round 5, node_3_smpc_complete: 22.74W (CPU: 0.09W, RAM: 2.82W, GPU: 19.84W)
Round 5, aggregation_start: 22.79W (CPU: 0.00W, RAM: 2.82W, GPU: 19.97W)
Round 5, aggregation_complete: 28.88W (CPU: 1.80W, RAM: 2.82W, GPU: 24.26W)
Round 6, cluster_generation_start: 22.91W (CPU: 0.03W, RAM: 2.82W, GPU: 20.07W)
Round 6, cluster_generation_complete: 22.88W (CPU: 0.00W, RAM: 2.82W, GPU: 20.07W)
Round 6, node_1_training_start: 22.88W (CPU: 0.00W, RAM: 2.82W, GPU: 20.07W)
Round 6, node_1_training_complete: 113.16W (CPU: 1.89W, RAM: 2.87W, GPU: 108.40W)
Round 6, node_1_smpc_start: 111.27W (CPU: 0.00W, RAM: 2.87W, GPU: 108.40W)
Round 6, node_1_smpc_complete: 22.78W (CPU: 0.09W, RAM: 2.83W, GPU: 19.86W)
Round 6, node_2_training_start: 22.63W (CPU: 0.00W, RAM: 2.83W, GPU: 19.80W)
Round 6, node_2_training_complete: 114.10W (CPU: 1.89W, RAM: 2.88W, GPU: 109.33W)
Round 6, node_2_smpc_start: 112.21W (CPU: 0.00W, RAM: 2.88W, GPU: 109.33W)
Round 6, node_2_smpc_complete: 23.17W (CPU: 0.09W, RAM: 2.85W, GPU: 20.23W)
Round 6, node_3_training_start: 23.06W (CPU: 0.00W, RAM: 2.85W, GPU: 20.20W)
Round 6, node_3_training_complete: 118.96W (CPU: 1.92W, RAM: 2.90W, GPU: 114.14W)
Round 6, node_3_smpc_start: 117.04W (CPU: 0.00W, RAM: 2.90W, GPU: 114.14W)
Round 6, node_3_smpc_complete: 23.13W (CPU: 0.09W, RAM: 2.85W, GPU: 20.19W)
Round 6, aggregation_start: 23.53W (CPU: 0.00W, RAM: 2.85W, GPU: 20.68W)
Round 6, aggregation_complete: 26.14W (CPU: 1.74W, RAM: 2.85W, GPU: 21.54W)
Round 7, cluster_generation_start: 23.84W (CPU: 0.03W, RAM: 2.86W, GPU: 20.95W)
Round 7, cluster_generation_complete: 23.81W (CPU: 0.00W, RAM: 2.86W, GPU: 20.95W)
Round 7, node_1_training_start: 23.81W (CPU: 0.00W, RAM: 2.86W, GPU: 20.95W)
Round 7, node_1_training_complete: 120.51W (CPU: 1.89W, RAM: 2.93W, GPU: 115.69W)
Round 7, node_1_smpc_start: 113.41W (CPU: 0.00W, RAM: 2.93W, GPU: 110.48W)
Round 7, node_1_smpc_complete: 23.07W (CPU: 0.09W, RAM: 2.86W, GPU: 20.12W)
Round 7, node_2_training_start: 22.59W (CPU: 0.00W, RAM: 2.86W, GPU: 19.73W)
Round 7, node_2_training_complete: 115.25W (CPU: 1.98W, RAM: 2.90W, GPU: 110.37W)
Round 7, node_2_smpc_start: 113.27W (CPU: 0.00W, RAM: 2.90W, GPU: 110.37W)
Round 7, node_2_smpc_complete: 22.95W (CPU: 0.09W, RAM: 2.87W, GPU: 19.99W)
Round 7, node_3_training_start: 22.81W (CPU: 0.00W, RAM: 2.87W, GPU: 19.94W)
Round 7, node_3_training_complete: 124.53W (CPU: 1.89W, RAM: 2.91W, GPU: 119.73W)
Round 7, node_3_smpc_start: 122.64W (CPU: 0.00W, RAM: 2.91W, GPU: 119.73W)
Round 7, node_3_smpc_complete: 23.20W (CPU: 0.09W, RAM: 2.88W, GPU: 20.23W)
Round 7, aggregation_start: 23.10W (CPU: 0.00W, RAM: 2.88W, GPU: 20.23W)
Round 7, aggregation_complete: 27.89W (CPU: 1.77W, RAM: 2.88W, GPU: 23.25W)
Round 8, cluster_generation_start: 23.29W (CPU: 0.03W, RAM: 2.88W, GPU: 20.38W)
Round 8, cluster_generation_complete: 23.26W (CPU: 0.00W, RAM: 2.88W, GPU: 20.38W)
Round 8, node_1_training_start: 23.26W (CPU: 0.00W, RAM: 2.88W, GPU: 20.38W)
Round 8, node_1_training_complete: 116.79W (CPU: 2.01W, RAM: 2.91W, GPU: 111.87W)
Round 8, node_1_smpc_start: 114.78W (CPU: 0.00W, RAM: 2.91W, GPU: 111.87W)
Round 8, node_1_smpc_complete: 23.00W (CPU: 0.09W, RAM: 2.86W, GPU: 20.05W)
Round 8, node_2_training_start: 23.20W (CPU: 0.00W, RAM: 2.86W, GPU: 20.34W)
Round 8, node_2_training_complete: 104.23W (CPU: 1.86W, RAM: 2.92W, GPU: 99.45W)
Round 8, node_2_smpc_start: 102.37W (CPU: 0.00W, RAM: 2.92W, GPU: 99.45W)
Round 8, node_2_smpc_complete: 23.19W (CPU: 0.09W, RAM: 2.87W, GPU: 20.23W)
Round 8, node_3_training_start: 22.88W (CPU: 0.00W, RAM: 2.87W, GPU: 20.02W)
Round 8, node_3_training_complete: 108.85W (CPU: 1.86W, RAM: 2.94W, GPU: 104.05W)
Round 8, node_3_smpc_start: 106.99W (CPU: 0.00W, RAM: 2.94W, GPU: 104.05W)
Round 8, node_3_smpc_complete: 23.08W (CPU: 0.09W, RAM: 2.90W, GPU: 20.09W)
Round 8, aggregation_start: 23.43W (CPU: 0.00W, RAM: 2.90W, GPU: 20.53W)
Round 8, aggregation_complete: 23.43W (CPU: 0.00W, RAM: 2.90W, GPU: 20.53W)
Round 9, cluster_generation_start: 22.99W (CPU: 0.00W, RAM: 2.90W, GPU: 20.09W)
Round 9, cluster_generation_complete: 22.99W (CPU: 0.00W, RAM: 2.90W, GPU: 20.09W)
Round 9, node_1_training_start: 22.99W (CPU: 0.00W, RAM: 2.90W, GPU: 20.09W)
Round 9, node_1_training_complete: 129.75W (CPU: 1.92W, RAM: 2.92W, GPU: 124.92W)
Round 9, node_1_smpc_start: 127.83W (CPU: 0.00W, RAM: 2.92W, GPU: 124.92W)
Round 9, node_1_smpc_complete: 23.19W (CPU: 0.09W, RAM: 2.89W, GPU: 20.22W)
Round 9, node_2_training_start: 22.84W (CPU: 0.00W, RAM: 2.89W, GPU: 19.95W)
Round 9, node_2_training_complete: 116.40W (CPU: 1.98W, RAM: 2.96W, GPU: 111.46W)
Round 9, node_2_smpc_start: 114.42W (CPU: 0.00W, RAM: 2.96W, GPU: 111.46W)
Round 9, node_2_smpc_complete: 23.21W (CPU: 0.09W, RAM: 2.92W, GPU: 20.20W)
Round 9, node_3_training_start: 22.69W (CPU: 0.00W, RAM: 2.91W, GPU: 19.77W)
Round 9, node_3_training_complete: 114.10W (CPU: 1.83W, RAM: 2.92W, GPU: 109.35W)
Round 9, node_3_smpc_start: 112.27W (CPU: 0.00W, RAM: 2.92W, GPU: 109.35W)
Round 9, node_3_smpc_complete: 22.76W (CPU: 0.09W, RAM: 2.92W, GPU: 19.75W)
Round 9, aggregation_start: 22.65W (CPU: 0.00W, RAM: 2.91W, GPU: 19.73W)
Round 9, aggregation_complete: 26.51W (CPU: 1.71W, RAM: 2.91W, GPU: 21.89W)
Round 10, cluster_generation_start: 23.10W (CPU: 0.03W, RAM: 2.93W, GPU: 20.14W)
Round 10, cluster_generation_complete: 23.07W (CPU: 0.00W, RAM: 2.93W, GPU: 20.14W)
Round 10, node_1_training_start: 23.07W (CPU: 0.00W, RAM: 2.93W, GPU: 20.14W)
Round 10, node_1_training_complete: 120.19W (CPU: 1.95W, RAM: 2.99W, GPU: 115.24W)
Round 10, node_1_smpc_start: 118.24W (CPU: 0.00W, RAM: 2.99W, GPU: 115.24W)
Round 10, node_1_smpc_complete: 22.65W (CPU: 0.09W, RAM: 2.96W, GPU: 19.60W)
Round 10, node_2_training_start: 22.34W (CPU: 0.00W, RAM: 2.96W, GPU: 19.38W)
Round 10, node_2_training_complete: 119.14W (CPU: 2.04W, RAM: 3.00W, GPU: 114.10W)
Round 10, node_2_smpc_start: 117.10W (CPU: 0.00W, RAM: 3.00W, GPU: 114.10W)
Round 10, node_2_smpc_complete: 23.04W (CPU: 0.09W, RAM: 2.99W, GPU: 19.96W)
Round 10, node_3_training_start: 22.77W (CPU: 0.00W, RAM: 2.99W, GPU: 19.79W)
Round 10, node_3_training_complete: 116.72W (CPU: 1.89W, RAM: 3.01W, GPU: 111.82W)
Round 10, node_3_smpc_start: 114.83W (CPU: 0.00W, RAM: 3.01W, GPU: 111.82W)
Round 10, node_3_smpc_complete: 23.12W (CPU: 0.09W, RAM: 2.98W, GPU: 20.05W)
Round 10, aggregation_start: 22.88W (CPU: 0.00W, RAM: 2.98W, GPU: 19.90W)
Round 10, aggregation_complete: 27.95W (CPU: 1.68W, RAM: 2.98W, GPU: 23.29W)
Round 11, cluster_generation_start: 22.50W (CPU: 0.03W, RAM: 2.95W, GPU: 19.52W)
Round 11, cluster_generation_complete: 32.46W (CPU: 9.99W, RAM: 2.95W, GPU: 19.52W)
Round 11, node_1_training_start: 22.47W (CPU: 0.00W, RAM: 2.95W, GPU: 19.52W)
Round 11, node_1_training_complete: 109.04W (CPU: 1.89W, RAM: 3.00W, GPU: 104.15W)
Round 11, node_1_smpc_start: 107.15W (CPU: 0.00W, RAM: 3.00W, GPU: 104.15W)
Round 11, node_1_smpc_complete: 22.96W (CPU: 0.09W, RAM: 2.96W, GPU: 19.91W)
Round 11, node_2_training_start: 22.82W (CPU: 0.00W, RAM: 2.96W, GPU: 19.86W)
Round 11, node_2_training_complete: 117.25W (CPU: 1.86W, RAM: 2.98W, GPU: 112.41W)
Round 11, node_2_smpc_start: 115.39W (CPU: 0.00W, RAM: 2.98W, GPU: 112.41W)
Round 11, node_2_smpc_complete: 23.30W (CPU: 0.09W, RAM: 2.97W, GPU: 20.24W)
Round 11, node_3_training_start: 23.12W (CPU: 0.00W, RAM: 2.97W, GPU: 20.15W)
Round 11, node_3_training_complete: 108.33W (CPU: 1.86W, RAM: 3.01W, GPU: 103.46W)
Round 11, node_3_smpc_start: 106.47W (CPU: 0.00W, RAM: 3.01W, GPU: 103.46W)
Round 11, node_3_smpc_complete: 23.16W (CPU: 0.09W, RAM: 2.98W, GPU: 20.09W)
Round 11, aggregation_start: 23.25W (CPU: 0.00W, RAM: 2.98W, GPU: 20.27W)
Round 11, aggregation_complete: 23.25W (CPU: 0.00W, RAM: 2.98W, GPU: 20.27W)
Round 12, cluster_generation_start: 23.02W (CPU: 0.00W, RAM: 2.98W, GPU: 20.04W)
Round 12, cluster_generation_complete: 23.02W (CPU: 0.00W, RAM: 2.98W, GPU: 20.04W)
Round 12, node_1_training_start: 23.02W (CPU: 0.00W, RAM: 2.98W, GPU: 20.04W)
Round 12, node_1_training_complete: 111.97W (CPU: 1.95W, RAM: 3.01W, GPU: 107.01W)
Round 12, node_1_smpc_start: 110.02W (CPU: 0.00W, RAM: 3.01W, GPU: 107.01W)
Round 12, node_1_smpc_complete: 23.14W (CPU: 0.09W, RAM: 2.98W, GPU: 20.07W)
Round 12, node_2_training_start: 23.53W (CPU: 0.00W, RAM: 2.98W, GPU: 20.55W)
Round 12, node_2_training_complete: 122.61W (CPU: 1.86W, RAM: 3.01W, GPU: 117.74W)
Round 12, node_2_smpc_start: 135.75W (CPU: 15.00W, RAM: 3.01W, GPU: 117.74W)
Round 12, node_2_smpc_complete: 22.95W (CPU: 0.09W, RAM: 3.00W, GPU: 19.86W)
Round 12, node_3_training_start: 23.03W (CPU: 0.00W, RAM: 2.99W, GPU: 20.04W)
Round 12, node_3_training_complete: 118.19W (CPU: 1.83W, RAM: 3.02W, GPU: 113.35W)
Round 12, node_3_smpc_start: 116.36W (CPU: 0.00W, RAM: 3.02W, GPU: 113.35W)
Round 12, node_3_smpc_complete: 22.87W (CPU: 0.09W, RAM: 2.99W, GPU: 19.79W)
Round 12, aggregation_start: 23.12W (CPU: 0.00W, RAM: 2.99W, GPU: 20.13W)
Round 12, aggregation_complete: 23.12W (CPU: 0.00W, RAM: 2.99W, GPU: 20.13W)
Round 13, cluster_generation_start: 23.05W (CPU: 0.00W, RAM: 2.99W, GPU: 20.06W)
Round 13, cluster_generation_complete: 23.05W (CPU: 0.00W, RAM: 2.99W, GPU: 20.06W)
Round 13, node_1_training_start: 23.05W (CPU: 0.00W, RAM: 2.99W, GPU: 20.06W)
Round 13, node_1_training_complete: 112.77W (CPU: 1.92W, RAM: 3.02W, GPU: 107.83W)
Round 13, node_1_smpc_start: 120.84W (CPU: 9.99W, RAM: 3.02W, GPU: 107.83W)
Round 13, node_1_smpc_complete: 23.78W (CPU: 0.09W, RAM: 3.03W, GPU: 20.66W)
Round 13, node_2_training_start: 23.56W (CPU: 0.00W, RAM: 3.03W, GPU: 20.53W)
Round 13, node_2_training_complete: 118.81W (CPU: 1.95W, RAM: 3.06W, GPU: 113.79W)
Round 13, node_2_smpc_start: 116.86W (CPU: 0.00W, RAM: 3.06W, GPU: 113.79W)
Round 13, node_2_smpc_complete: 23.12W (CPU: 0.09W, RAM: 3.03W, GPU: 20.00W)
Round 13, node_3_training_start: 23.37W (CPU: 0.00W, RAM: 3.03W, GPU: 20.34W)
Round 13, node_3_training_complete: 118.79W (CPU: 1.80W, RAM: 3.04W, GPU: 113.94W)
Round 13, node_3_smpc_start: 116.99W (CPU: 0.00W, RAM: 3.04W, GPU: 113.94W)
Round 13, node_3_smpc_complete: 23.39W (CPU: 0.09W, RAM: 3.02W, GPU: 20.29W)
Round 13, aggregation_start: 23.43W (CPU: 0.00W, RAM: 3.02W, GPU: 20.41W)
Round 13, aggregation_complete: 23.43W (CPU: 0.00W, RAM: 3.02W, GPU: 20.41W)
Round 14, cluster_generation_start: 23.46W (CPU: 0.00W, RAM: 3.02W, GPU: 20.44W)
Round 14, cluster_generation_complete: 23.46W (CPU: 0.00W, RAM: 3.02W, GPU: 20.44W)
Round 14, node_1_training_start: 23.46W (CPU: 0.00W, RAM: 3.02W, GPU: 20.44W)
Round 14, node_1_training_complete: 118.13W (CPU: 1.92W, RAM: 3.03W, GPU: 113.18W)
Round 14, node_1_smpc_start: 116.21W (CPU: 0.00W, RAM: 3.03W, GPU: 113.18W)
Round 14, node_1_smpc_complete: 23.89W (CPU: 0.09W, RAM: 3.03W, GPU: 20.77W)
Round 14, node_2_training_start: 23.20W (CPU: 0.00W, RAM: 3.03W, GPU: 20.17W)
Round 14, node_2_training_complete: 113.73W (CPU: 1.83W, RAM: 3.06W, GPU: 108.85W)
Round 14, node_2_smpc_start: 111.90W (CPU: 0.00W, RAM: 3.06W, GPU: 108.85W)
Round 14, node_2_smpc_complete: 23.47W (CPU: 0.09W, RAM: 3.02W, GPU: 20.36W)
Round 14, node_3_training_start: 23.28W (CPU: 0.00W, RAM: 3.02W, GPU: 20.26W)
Round 14, node_3_training_complete: 112.06W (CPU: 1.80W, RAM: 3.03W, GPU: 107.24W)
Round 14, node_3_smpc_start: 110.26W (CPU: 0.00W, RAM: 3.03W, GPU: 107.24W)
Round 14, node_3_smpc_complete: 23.18W (CPU: 0.09W, RAM: 3.02W, GPU: 20.07W)
Round 14, aggregation_start: 23.04W (CPU: 0.00W, RAM: 3.02W, GPU: 20.01W)
Round 14, aggregation_complete: 23.04W (CPU: 0.00W, RAM: 3.02W, GPU: 20.01W)
Round 15, cluster_generation_start: 23.14W (CPU: 0.00W, RAM: 3.02W, GPU: 20.11W)
Round 15, cluster_generation_complete: 23.14W (CPU: 0.00W, RAM: 3.02W, GPU: 20.11W)
Round 15, node_1_training_start: 23.14W (CPU: 0.00W, RAM: 3.02W, GPU: 20.11W)
Round 15, node_1_training_complete: 111.38W (CPU: 1.92W, RAM: 3.04W, GPU: 106.42W)
Round 15, node_1_smpc_start: 109.45W (CPU: 0.00W, RAM: 3.04W, GPU: 106.42W)
Round 15, node_1_smpc_complete: 23.26W (CPU: 0.09W, RAM: 3.02W, GPU: 20.14W)
Round 15, node_2_training_start: 23.30W (CPU: 0.00W, RAM: 3.02W, GPU: 20.28W)
Round 15, node_2_training_complete: 114.69W (CPU: 1.89W, RAM: 3.03W, GPU: 109.77W)
Round 15, node_2_smpc_start: 112.80W (CPU: 0.00W, RAM: 3.03W, GPU: 109.77W)
Round 15, node_2_smpc_complete: 23.65W (CPU: 0.09W, RAM: 3.03W, GPU: 20.53W)
Round 15, node_3_training_start: 23.55W (CPU: 0.00W, RAM: 3.02W, GPU: 20.52W)
Round 15, node_3_training_complete: 122.88W (CPU: 1.92W, RAM: 3.05W, GPU: 117.91W)
Round 15, node_3_smpc_start: 120.96W (CPU: 0.00W, RAM: 3.05W, GPU: 117.91W)
Round 15, node_3_smpc_complete: 23.60W (CPU: 0.09W, RAM: 3.03W, GPU: 20.48W)
Round 15, aggregation_start: 23.56W (CPU: 0.00W, RAM: 3.03W, GPU: 20.53W)
Round 15, aggregation_complete: 27.23W (CPU: 1.65W, RAM: 3.03W, GPU: 22.56W)
Round 16, cluster_generation_start: 24.27W (CPU: 0.03W, RAM: 3.02W, GPU: 21.22W)
Round 16, cluster_generation_complete: 31.74W (CPU: 7.50W, RAM: 3.02W, GPU: 21.22W)
Round 16, node_1_training_start: 24.24W (CPU: 0.00W, RAM: 3.02W, GPU: 21.22W)
Round 16, node_1_training_complete: 108.54W (CPU: 1.80W, RAM: 3.04W, GPU: 103.71W)
Round 16, node_1_smpc_start: 106.74W (CPU: 0.00W, RAM: 3.04W, GPU: 103.71W)
Round 16, node_1_smpc_complete: 23.50W (CPU: 0.09W, RAM: 2.99W, GPU: 20.41W)
Round 16, node_2_training_start: 23.53W (CPU: 0.00W, RAM: 2.99W, GPU: 20.54W)
Round 16, node_2_training_complete: 125.85W (CPU: 2.04W, RAM: 3.01W, GPU: 120.81W)
Round 16, node_2_smpc_start: 123.81W (CPU: 0.00W, RAM: 3.01W, GPU: 120.81W)
Round 16, node_2_smpc_complete: 23.56W (CPU: 0.09W, RAM: 3.01W, GPU: 20.45W)
Round 16, node_3_training_start: 23.17W (CPU: 0.00W, RAM: 3.01W, GPU: 20.16W)
Round 16, node_3_training_complete: 112.33W (CPU: 1.83W, RAM: 3.06W, GPU: 107.44W)
Round 16, node_3_smpc_start: 110.50W (CPU: 0.00W, RAM: 3.06W, GPU: 107.44W)
Round 16, node_3_smpc_complete: 23.26W (CPU: 0.09W, RAM: 3.01W, GPU: 20.16W)
Round 16, aggregation_start: 23.52W (CPU: 0.00W, RAM: 3.01W, GPU: 20.51W)
Round 16, aggregation_complete: 23.52W (CPU: 0.00W, RAM: 3.01W, GPU: 20.51W)
Round 17, cluster_generation_start: 23.09W (CPU: 0.00W, RAM: 3.01W, GPU: 20.08W)
Round 17, cluster_generation_complete: 23.09W (CPU: 0.00W, RAM: 3.01W, GPU: 20.08W)
Round 17, node_1_training_start: 23.09W (CPU: 0.00W, RAM: 3.01W, GPU: 20.08W)
Round 17, node_1_training_complete: 113.46W (CPU: 1.83W, RAM: 3.02W, GPU: 108.61W)
Round 17, node_1_smpc_start: 126.63W (CPU: 15.00W, RAM: 3.02W, GPU: 108.61W)
Round 17, node_1_smpc_complete: 24.11W (CPU: 0.09W, RAM: 3.01W, GPU: 21.01W)
Round 17, node_2_training_start: 23.49W (CPU: 0.00W, RAM: 3.01W, GPU: 20.48W)
Round 17, node_2_training_complete: 111.00W (CPU: 1.80W, RAM: 3.05W, GPU: 106.15W)
