final_model: node1 | Test Loss: 0.64272 | Test acc: 66.168 
block: 16 node: node2 | Test Loss: 0.57691 | Test acc: 69.077 

final_model: node1 | Test Loss: 1.01571 | Test acc: 29.301 
final_model: node2 | Test Loss: 0.57424 | Test acc: 71.116 
final_model: node3 | Test Loss: 0.57157 | Test acc: 71.301 

block: 18 node: node2 | Test Loss: 0.52850 | Test acc: 72.518 
block: 18 node: node1 | Test Loss: 1.30698 | Test acc: 27.540 
block: 18 node: node3 | Test Loss: 0.52337 | Test acc: 72.796 

block: 19 node: node3 | Test Loss: 0.47846 | Test acc: 77.175 
block: 19 node: node1 | Test Loss: 1.58197 | Test acc: 23.358 
block: 19 node: node2 | Test Loss: 0.48857 | Test acc: 76.480 

final_model: node1 | Test Loss: 1.36351 | Test acc: 24.806 
final_model: node2 | Test Loss: 0.51478 | Test acc: 75.414 
final_model: node3 | Test Loss: 0.50697 | Test acc: 75.379 

block: 21 node: node2 | Test Loss: 0.38227 | Test acc: 84.208 
block: 21 node: node1 | Test Loss: 1.84217 | Test acc: 15.815 
block: 21 node: node3 | Test Loss: 0.37298 | Test acc: 84.544 

block: 22 node: node3 | Test Loss: 0.38828 | Test acc: 83.385 
block: 22 node: node1 | Test Loss: 1.72393 | Test acc: 16.267 
block: 22 node: node2 | Test Loss: 0.39584 | Test acc: 83.501 

final_model: node1 | Test Loss: 1.76732 | Test acc: 15.838 
final_model: node2 | Test Loss: 0.38860 | Test acc: 83.837 
final_model: node3 | Test Loss: 0.37988 | Test acc: 84.254 

block: 24 node: node2 | Test Loss: 0.39131 | Test acc: 84.243 
block: 24 node: node1 | Test Loss: 1.85746 | Test acc: 15.143 
block: 24 node: node3 | Test Loss: 0.38465 | Test acc: 84.173 

block: 25 node: node3 | Test Loss: 0.36717 | Test acc: 84.834 
block: 25 node: node1 | Test Loss: 1.84754 | Test acc: 14.772 
block: 25 node: node2 | Test Loss: 0.37558 | Test acc: 85.008 

final_model: node1 | Test Loss: 1.86554 | Test acc: 13.845 
final_model: node2 | Test Loss: 0.37032 | Test acc: 85.795 
final_model: node3 | Test Loss: 0.36240 | Test acc: 85.749 

block: 27 node: node2 | Test Loss: 0.36547 | Test acc: 85.622 
block: 27 node: node1 | Test Loss: 1.98701 | Test acc: 13.834 
block: 27 node: node3 | Test Loss: 0.35744 | Test acc: 85.517 

block: 28 node: node3 | Test Loss: 0.36474 | Test acc: 84.845 
block: 28 node: node1 | Test Loss: 2.10214 | Test acc: 15.166 
block: 28 node: node2 | Test Loss: 0.37153 | Test acc: 84.706 

final_model: node1 | Test Loss: 2.02024 | Test acc: 13.683 
final_model: node2 | Test Loss: 0.35361 | Test acc: 85.911 
final_model: node3 | Test Loss: 0.34666 | Test acc: 86.085 

block: 30 node: node2 | Test Loss: 0.35269 | Test acc: 85.633 
block: 30 node: node1 | Test Loss: 2.06644 | Test acc: 13.788 
block: 30 node: node3 | Test Loss: 0.34812 | Test acc: 85.320 
